Rk,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
1,Jake Allen\allenja01,28,STL,38,37,17,15,4,103,1039,936,.901,2.98,2,5.0,2074,19,.514,10,108,-7.82,0,0,0,0
2,Frederik Andersen\anderfr01,29,TOR,41,41,27,12,2,104,1351,1247,.923,2.56,1,9.6,2438,27,.659,4,84,19.76,0,1,1,0
3,Craig Anderson\andercr01,37,OTT,35,34,14,17,3,117,1217,1100,.904,3.55,1,6.2,1976,14,.412,6,105,-5.52,0,1,1,0
4,Richard Bachman\bachmri01,31,VAN,1,1,0,1,0,6,29,23,.793,6.00,0,-0.2,60,0,.000,1,,,0,0,0,0
5,Jonathan Bernier\bernijo01,30,DET,24,21,6,13,3,72,701,629,.897,3.37,1,3.1,1283,8,.381,4,112,-7.78,0,0,0,0
6,Jordan Binnington\binnijo01,25,STL,16,14,12,1,1,24,380,356,.937,1.58,4,3.3,911,12,.857,0,69,10.81,0,0,0,0
7,Ben Bishop\bishobe01,32,DAL,34,33,19,12,2,76,996,920,.924,2.30,3,7.2,1981,20,.606,1,83,15.24,0,1,1,2
8,MacKenzie Blackwood\blackma01,22,NJD,13,11,6,4,0,26,353,327,.926,2.37,2,2.6,658,7,.636,2,80,6.34,0,0,0,0
9,Sergei Bobrovsky\bobrose01,30,CBJ,42,41,24,17,1,115,1202,1087,.904,2.88,3,6.2,2396,19,.463,9,104,-4.89,0,0,0,2
10,Landon Bow\bowla01,23,DAL,2,0,0,0,0,1,19,18,.947,1.03,0,0.2,58,0,,0,,,0,0,0,0
11,Kevin Boyle\boyleke01,26,ANA,3,2,1,1,0,4,89,85,.955,1.51,1,0.9,159,2,1.000,0,,,0,0,0,0
12,Laurent Brossoit\brossla01,25,WPG,15,14,10,3,2,36,525,489,.931,2.41,1,4.2,898,10,.714,1,75,12.09,0,0,0,0
13,Peter Budaj\budajpe01,36,LAK,3,1,0,1,0,6,33,27,.818,5.02,0,-0.1,72,0,.000,1,,,0,0,0,0
14,Jack Campbell\campbja01,27,LAK,19,17,7,10,0,38,529,491,.928,2.23,1,4.1,1024,12,.706,3,78,10.46,0,1,1,0
15,Mike Condon\condomi01,28,OTT,2,2,0,2,0,8,40,32,.800,6.38,0,-0.2,75,0,.000,2,,,0,0,0,0
16,Pheonix Copley\copleph01,27,WSH,21,18,12,5,3,59,606,547,.903,3.02,1,3.0,1171,10,.556,3,106,-3.49,0,1,1,0
17,Corey Crawford\crawfco01,34,CHI,23,23,6,14,2,71,722,651,.902,3.28,1,3.5,1298,8,.348,4,107,-4.86,0,2,2,0
18,Scott Darling\darlisc01,30,CAR,8,8,2,4,2,27,233,206,.884,3.34,0,0.7,486,2,.250,3,,,0,0,0,0
19,Collin Delia\deliaco01,24,CHI,13,12,6,3,3,40,476,436,.916,3.22,0,3.0,745,6,.500,1,92,3.60,0,0,0,0
20,Aaron Dell\dellaa01,29,SJS,18,15,7,6,3,49,455,406,.892,3.04,2,1.8,966,5,.333,3,118,-7.32,0,0,0,0
21,Thatcher Demko\demkoth01,23,VAN,1,1,1,0,0,3,39,36,.923,3.02,0,0.3,60,1,1.000,0,,,0,0,0,0
22,Casey DeSmith\desmica01,27,PIT,33,28,14,10,5,84,988,904,.915,2.82,2,6.2,1786,17,.607,2,93,6.51,0,0,0,2
23,Michael Dipietro\dipiemi01,19,VAN,1,1,0,1,0,7,24,17,.708,7.00,0,-0.4,60,0,.000,1,,,0,0,0,0
24,Louis Domingue\dominlo01,26,TBL,22,22,18,4,0,64,689,625,.907,2.90,0,3.8,1323,12,.545,2,101,-0.88,0,1,1,4
25,Devan Dubnyk\dubnyde01,32,MIN,48,47,21,20,5,123,1349,1226,.909,2.67,1,7.6,2759,26,.553,10,100,0.58,0,1,1,2
26,Brian Elliott\elliobr01,33,PHI,14,13,6,7,0,34,384,350,.911,2.59,1,2.3,787,8,.615,2,97,1.18,0,1,1,0
27,Marc-Andre Fleury\fleurma01,34,VEG,51,51,29,18,4,132,1435,1303,.908,2.61,6,8.0,3031,27,.529,6,100,-0.55,0,2,2,4
28,Pavel Francouz\francpa01,28,COL,2,0,0,2,0,2,35,33,.943,1.96,0,0.3,61,0,,0,,,0,0,0,0
29,Alexandar Georgiev\georgal01,22,NYR,21,18,9,10,0,61,634,573,.904,3.21,1,3.2,1139,8,.444,2,105,-2.92,0,2,2,2
30,Christopher Gibson\gibsoch01,26,NYI,1,0,0,0,0,1,7,6,.857,3.00,0,0.0,20,0,,0,,,0,0,0,0
31,John Gibson\gibsojo02,25,ANA,46,45,17,19,8,123,1434,1311,.914,2.93,2,8.9,2516,26,.578,7,94,8.36,0,0,0,2
32,Thomas Greiss\greisth01,33,NYI,30,28,17,8,2,60,853,793,.930,2.20,4,6.7,1640,19,.679,5,77,18.14,0,1,1,2
33,Philipp Grubauer\grubaph01,27,COL,23,20,9,7,3,70,636,566,.890,3.42,0,2.3,1227,7,.350,5,120,-11.74,0,0,0,0
34,Jaroslav Halak\halakja01,33,BOS,30,28,15,9,4,68,887,819,.923,2.35,4,6.4,1734,15,.536,3,84,13.25,0,3,3,0
35,Carter Hart\hartca01,20,PHI,20,20,13,6,1,49,644,595,.924,2.53,0,4.7,1160,11,.550,2,83,9.99,0,0,0,0
36,Connor Hellebuyck\helleco01,25,WPG,45,45,26,16,2,128,1443,1315,.911,2.89,0,8.5,2656,20,.444,5,97,4.19,0,2,2,2
37,Adin Hill\hillad01,22,ARI,13,11,7,5,0,32,322,290,.901,2.76,1,1.5,696,4,.364,1,108,-2.50,0,0,0,0
38,Marcus Hogberg\hogbema01,24,OTT,4,4,0,2,1,14,121,107,.884,4.09,0,0.4,206,1,.250,1,,,0,0,0,0
39,Braden Holtby\holtbbr01,29,WSH,42,41,20,15,4,121,1300,1179,.907,3.04,2,7.1,2389,22,.537,8,102,-1.91,0,2,2,2
40,Jimmy Howard\howarja02,34,DET,41,39,17,16,5,109,1254,1145,.913,2.80,0,7.6,2335,23,.590,3,95,5.87,0,1,1,2
41,Michael Hutchinson\hutchmi01,28,TOT,9,8,3,4,2,27,239,212,.887,3.27,1,0.8,496,2,.250,2,,,0,0,0,0
